level_0,index,id,jid,jyear,jcase,jno,jdate_dt,jtitle,jtype,litigation_type,etl_datetime,source_id,source_cnt,source_id_v2,source_cnt_v2,精神慰撫金額,醫療費用,薪資收入
21,21,100256,"CYDV,107,訴,575,20190829,1",107,訴,575,1567036800000,損害賠償,臺灣嘉義地方法院,民事判決,1688136019337,21,1,21,1,40萬元,"108,393元","30,000元"
25,25,207582,"KSDV,107,訴,1232,20190213,1",107,訴,1232,1550016000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,25,1,25,1,18萬元,"28,266元","39,667"
26,26,207873,"KSDV,107,訴,913,20181031,1",107,訴,913,1540944000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,26,1,26,1,8萬元,"62,019元",nan
28,28,372774,"PTEV,107,屏小,252,20180731,1",107,屏小,252,1532995200000,損害賠償,屏東簡易庭,民事判決,1688136019337,28,1,28,1,"6,000元",555元,nan
29,29,424210,"SLDV,106,訴,796,20180629,1",106,訴,796,1530230400000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,29,1,29,1,15萬元,535元,"1萬9,500元"
30,30,425538,"SLDV,107,訴,1582,20190902,1",107,訴,1582,1567382400000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,30,1,30,1,nan,nan,nan
31,31,437467,"SLEV,108,士小,1166,20190617,1",108,士小,1166,1560729600000,侵權行為損害賠償,士林簡易庭,民事判決,1688136019337,31,1,31,1,1萬元,"1,780元","2萬8,015元"
32,32,444735,"SYEV,107,營簡,500,20190515,1",107,營簡,500,1557878400000,損害賠償,柳營簡易庭,民事判決,1688136019337,32,1,32,1,nan,nan,nan
33,33,512025,"TCDV,108,訴,1528,20191003,1",108,訴,1528,1570060800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,33,1,33,1,"100,000元","10,230元","3萬2,880元"
34,34,547014,"TLEV,108,六小,12,20190218,1",108,六小,12,1550448000000,損害賠償,斗六簡易庭,民事判決,1688136019337,34,1,34,1,"20,000元","1,200元",nan
35,35,590099,"TNDV,107,訴,1394,20190212,1",107,訴,1394,1549929600000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,35,1,35,1,10萬元,"8,540元","22,000元"
36,36,791525,"TYDV,106,訴,235,20190823,1",106,訴,235,1566518400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,36,1,36,1,25萬元,"41,934",nan
37,37,805320,"TYEV,107,桃簡,977,20181221,1",107,桃簡,977,1545350400000,損害賠償,桃園簡易庭,民事判決,1688136019337,37,1,37,1,15萬元,3萬442元,"8萬7,000元"
39,39,207523,"KSDV,107,訴,1062,20190510,1",107,訴,1062,1557446400000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,39,1,39,1,nan,nan,nan
40,40,207781,"KSDV,107,訴,548,20190618,1",107,訴,548,1560816000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,40,1,40,1,5萬元,3320,nan
42,42,252570,"NHEV,107,湖簡,1121,20181226,1",107,湖簡,1121,1545782400000,損害賠償,內湖簡易庭,民事判決,1688136019337,42,1,42,1,"30,000元",nan,"3萬8,000元"
43,43,267212,"OLEV,107,員簡,185,20180920,1",107,員簡,185,1537401600000,損害賠償,員林簡易庭,民事判決,1688136019337,43,1,43,1,"100,000元","6,180元",nan
44,44,324615,"PCDV,107,重訴,439,20181025,1",107,重訴,439,1540425600000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,44,1,44,1,60萬元,"332,114元",nan
45,45,373003,"PTEV,108,屏簡,46,20190823,1",108,屏簡,46,1566518400000,損害賠償,屏東簡易庭,民事判決,1688136019337,45,1,45,1,10萬元,"16,368元",2萬7000元
46,46,424250,"SLDV,106,重訴,353,20190814,1",106,重訴,353,1565740800000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,46,1,46,1,25萬元,"19萬2,337元","7萬3,706元"
47,47,523286,"TCEV,107,中小,2926,20181127,1",107,中小,2926,1543276800000,損害賠償,臺中簡易庭,民事判決,1688136019337,47,1,47,1,"10,000",380,nan
48,48,523709,"TCEV,107,中簡,1988,20181009,1",107,中簡,1988,1539043200000,損害賠償,臺中簡易庭,民事判決,1688136019337,48,1,48,1,"60,000元","41,515元","70,000"
49,49,523941,"TCEV,107,中簡,3644,20181210,1",107,中簡,3644,1544400000000,損害賠償,臺中簡易庭,民事判決,1688136019337,49,1,49,1,"50,000元","6,300元",2萬5千元
50,50,524642,"TCEV,108,中小,4064,20190927,1",108,中小,4064,1569542400000,損害賠償,臺中簡易庭,民事判決,1688136019337,50,1,50,1,"5,000元",662元,nan
51,51,545078,"TCHV,108,訴易,4,20190508,1",108,訴易,4,1557273600000,損害賠償,臺灣高等法院臺中分院,民事判決,1688136019337,51,1,51,1,5萬元,"4萬9,713元","2萬6,000元"
52,52,590136,"TNDV,107,訴,1534,20190124,1",107,訴,1534,1548288000000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,52,1,52,1,"180,000元","19,460",nan
53,53,590443,"TNDV,107,重訴,165,20190102,3",107,重訴,165,1546387200000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,53,1,53,1,2萬元,"4,522元",nan
55,55,791519,"TYDV,106,訴,2003,20180810,1",106,訴,2003,1533859200000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,55,1,55,1,12萬元,"9,780元",nan
56,56,793963,"TYDV,107,訴,292,20180629,1",107,訴,292,1530230400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,56,1,56,1,40萬元,"3萬3,440元","3萬5,000元"
57,57,47394,"CSEV,107,旗簡,15,20180712,1",107,旗簡,15,1531353600000,損害賠償,旗山簡易庭,民事判決,1688136019337,57,1,57,1,nan,nan,nan
58,58,77716,"CTDV,107,訴,747,20190528,1",107,訴,747,1559001600000,損害賠償,臺灣橋頭地方法院,民事判決,1688136019337,58,1,58,1,60萬元,"237,702",15223元
59,59,124401,"HLDV,107,訴,179,20181109,1",107,訴,179,1541721600000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,59,1,59,1,"500,000元","325,207元",nan
60,60,207842,"KSDV,107,訴,807,20191111,1",107,訴,807,1573430400000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,60,1,60,1,8萬元,93863元,nan
62,62,336945,"PCEV,107,板小,2843,20190124,1",107,板小,2843,1548288000000,侵權行為損害賠償,板橋簡易庭,民事判決,1688136019337,62,1,62,1,nan,nan,nan
63,63,337617,"PCEV,107,板簡調,76,20180731,1",107,板簡調,76,1532995200000,侵權行為損害賠償,板橋簡易庭,民事裁定,1688136019337,63,1,63,1,nan,nan,nan
64,64,443144,"STEV,108,店簡,13,20190502,2",108,店簡,13,1556755200000,損害賠償,新店簡易庭,民事判決,1688136019337,64,1,64,1,"10,000元","21,260元",nan
68,68,589053,"TNDV,106,訴,975,20181025,1",106,訴,975,1540425600000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,68,1,68,1,"300,000元","3,965元","20,008元"
70,70,793930,"TYDV,107,訴,2764,20190315,1",107,訴,2764,1552608000000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,70,1,70,1,"9萬1,695元","16萬0,828元","6萬2,000元"
71,71,805311,"TYEV,107,桃簡,930,20190215,1",107,桃簡,930,1550188800000,損害賠償,桃園簡易庭,民事判決,1688136019337,71,1,71,1,"50,000元","1,872元","100,000元"
73,73,100292,"CYDV,107,訴,731,20190416,3",107,訴,731,1555372800000,損害賠償,臺灣嘉義地方法院,民事判決,1688136019337,73,1,73,1,18萬元,"26,418元","8,000元"
74,74,113727,"GSEV,107,岡小,220,20180725,1",107,岡小,220,1532476800000,損害賠償,岡山簡易庭,民事判決,1688136019337,74,1,74,1,nan,nan,nan
76,76,392002,"SCDV,107,原訴,17,20181128,1",107,原訴,17,1543363200000,損害賠償,臺灣新竹地方法院,民事判決,1688136019337,76,1,76,1,"300,000元","230,791元",nan
77,77,524542,"TCEV,108,中小,3471,20191004,1",108,中小,3471,1570147200000,損害賠償,臺中簡易庭,民事判決,1688136019337,77,1,77,1,"6,000元",970元,"55,000元"
78,78,652208,"TPDV,108,訴,1351,20191030,1",108,訴,1351,1572393600000,侵權行為損害賠償,臺灣臺北地方法院,民事判決,1688136019337,78,1,78,1,"150,000元","25,431元","427,868元"
79,79,797647,"TYDV,108,訴,618,20190614,1",108,訴,618,1560470400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,79,1,79,1,nan,nan,nan
80,80,251,"CCEV,107,潮簡,553,20181218,1",107,潮簡,553,1545091200000,損害賠償,潮州簡易庭,民事判決,1688136019337,80,1,80,1,"40,000元",nan,"40,000元"
81,81,77790,"CTDV,107,重訴,1,20190726,2",107,重訴,1,1564099200000,損害賠償,臺灣橋頭地方法院,民事判決,1688136019337,81,1,81,1,"800,000元","127,131元",nan
82,82,103751,"CYEV,107,嘉簡,936,20190305,1",107,嘉簡,936,1551744000000,侵權行為損害賠償,嘉義簡易庭(含朴子),民事判決,1688136019337,82,1,82,1,nan,nan,nan
83,83,126678,"HLEV,108,花簡,247,20191122,1",108,花簡,247,1574380800000,侵權行為損害賠償,花蓮簡易庭(含玉里),民事判決,1688136019337,83,1,83,1,200000元,640元,nan
87,87,371313,"PTDV,108,訴,134,20190411,1",108,訴,134,1554940800000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,87,1,87,1,20萬元,"9萬5,259元","2萬5,000元"
88,88,371513,"PTDV,108,重訴,41,20190613,1",108,重訴,41,1560384000000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,88,1,88,1,300萬元,"3,600元","4萬6,000元"
89,89,423988,"SLDV,106,原訴,7,20181127,1",106,原訴,7,1543276800000,侵權行為損害賠償,臺灣士林地方法院,民事判決,1688136019337,89,1,89,1,nan,nan,nan
90,90,437259,"SLEV,107,士簡,1320,20181224,1",107,士簡,1320,1545609600000,侵權行為損害賠償,士林簡易庭,民事判決,1688136019337,90,1,90,1,3萬元,"1萬8,275元",nan
91,91,443110,"STEV,108,店簡,1110,20191029,1",108,店簡,1110,1572307200000,損害賠償,新店簡易庭,民事判決,1688136019337,91,1,91,1,"6,000元",670元,nan
93,93,507909,"TCDV,107,訴,3582,20181227,1",107,訴,3582,1545868800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,93,1,93,1,15萬元,"101,700",nan
94,94,647550,"TPDV,106,訴,2671,20181123,1",106,訴,2671,1542931200000,損害賠償,臺灣臺北地方法院,民事判決,1688136019337,94,1,94,1,15萬元,"10萬8,196元",3萬300元
95,95,662429,"TPEV,108,北小,3104,20190919,1",108,北小,3104,1568851200000,侵權行為損害賠償,臺北簡易庭,民事判決,1688136019337,95,1,95,1,nan,nan,nan
97,97,694077,"TPHV,107,上,570,20181009,1",107,上,570,1539043200000,損害賠償,臺灣高等法院,民事判決,1688136019337,97,1,97,1,"500,000元",471223,"26,668元"
99,99,793894,"TYDV,107,訴,26,20190705,1",107,訴,26,1562284800000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,99,1,99,1,100萬元,"357,922元",nan
100,100,428,"CCEV,108,潮簡,289,20190926,1",108,潮簡,289,1569456000000,損害賠償,潮州簡易庭,民事判決,1688136019337,100,1,100,1,1萬元,200元,nan
101,101,1828,"CDEV,107,橋簡,623,20181025,1",107,橋簡,623,1540425600000,損害賠償,橋頭簡易庭,民事判決,1688136019337,101,1,101,1,"50,000元","13,770元",nan
102,102,1947,"CDEV,108,橋小,113,20190329,1",108,橋小,113,1553817600000,損害賠償,橋頭簡易庭,民事判決,1688136019337,102,1,102,1,nan,nan,nan
104,104,126747,"HLEV,108,花簡,99,20190328,1",108,花簡,99,1553731200000,侵權行為損害賠償,花蓮簡易庭(含玉里),民事判決,1688136019337,104,1,104,1,30萬元,"19,097元",nan
106,106,215659,"KSEV,107,雄小,1820,20181016,1",107,雄小,1820,1539648000000,損害賠償,高雄簡易庭,民事判決,1688136019337,106,1,106,1,3萬元,"26,360元",nan
109,109,246726,"MLDV,107,苗小,362,20180727,1",107,苗小,362,1532649600000,侵權行為損害賠償,臺灣苗栗地方法院,民事判決,1688136019337,109,1,109,1,nan,nan,nan
110,110,253176,"NHEV,108,湖簡,767,20190802,1",108,湖簡,767,1564704000000,損害賠償,內湖簡易庭,民事判決,1688136019337,110,1,110,1,6萬元,"3萬3,702元",nan
111,111,327359,"PCDV,108,訴,886,20190917,1",108,訴,886,1568678400000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,111,1,111,1,50萬元,nan,3萬元
112,112,428284,"SLDV,108,訴,905,20191106,1",108,訴,905,1572998400000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,112,1,112,1,5萬元,"1,620元","22,000元"
113,113,504600,"TCDV,106,訴,2722,20180823,2",106,訴,2722,1534982400000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,113,1,113,1,20萬元,nan,nan
114,114,507505,"TCDV,107,訴,1719,20190308,1",107,訴,1719,1552003200000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,114,1,114,1,35萬元,8686元,3萬9800元
115,115,590206,"TNDV,107,訴,1887,20190121,1",107,訴,1887,1548028800000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,115,1,115,1,"130,000元","8,536元","7,770元"
116,116,596324,"TNEV,107,南保險,1,20180613,1",107,南保險,1,1528848000000,侵權行為損害賠償,臺南簡易庭,民事判決,1688136019337,116,1,116,1,nan,nan,nan
117,117,596388,"TNEV,107,南小,1284,20181120,1",107,南小,1284,1542672000000,侵權行為損害賠償,臺南簡易庭,民事判決,1688136019337,117,1,117,1,nan,nan,nan
120,120,649917,"TPDV,107,訴,4717,20190620,1",107,訴,4717,1560988800000,侵權行為損害賠償,臺灣臺北地方法院,民事判決,1688136019337,120,1,120,1,20萬元,"77,016元","33,000元"
122,122,100211,"CYDV,107,訴,337,20181109,1",107,訴,337,1541721600000,損害賠償,臺灣嘉義地方法院,民事判決,1688136019337,122,1,122,1,5萬元,"3,440元",nan
123,123,126556,"HLEV,108,花原簡,9,20190308,1",108,花原簡,9,1552003200000,侵權行為損害賠償,花蓮簡易庭(含玉里),民事判決,1688136019337,123,1,123,1,nan,nan,nan
124,124,129536,"HUEV,107,虎簡,133,20180912,1",107,虎簡,133,1536710400000,損害賠償,虎尾簡易庭,民事判決,1688136019337,124,1,124,1,"50,000","3,020元","22,000元"
125,125,207865,"KSDV,107,訴,888,20181130,1",107,訴,888,1543536000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,125,1,125,1,"50,000元","75,792元","23,000"
126,126,252575,"NHEV,107,湖簡,1150,20181226,1",107,湖簡,1150,1545782400000,損害賠償,內湖簡易庭,民事判決,1688136019337,126,1,126,1,"50,000元","1萬6,447元","3萬3,000元"
128,128,326909,"PCDV,108,訴,214,20191031,2",108,訴,214,1572480000000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,128,1,128,1,1萬元,nan,nan
129,129,392380,"SCDV,107,訴,1001,20190125,1",107,訴,1001,1548374400000,損害賠償,臺灣新竹地方法院,民事判決,1688136019337,129,1,129,1,30萬元,"39,941元","20,008元"
130,130,393937,"SCDV,108,訴,602,20190927,1",108,訴,602,1569542400000,損害賠償,臺灣新竹地方法院,民事判決,1688136019337,130,1,130,1,"36,000元","31,873",4萬
131,131,403420,"SJEV,107,重簡,1033,20181127,1",107,重簡,1033,1543276800000,侵權行為損害賠償等,三重簡易庭,民事判決,1688136019337,131,1,131,1,"10,000元","1,935元",nan
132,132,425726,"SLDV,107,訴,919,20181128,1",107,訴,919,1543363200000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,132,1,132,1,"800,000元","311,763元","28,000元"
133,133,441436,"SSEV,107,新簡,491,20190225,1",107,新簡,491,1551052800000,損害賠償,新市簡易庭,民事判決,1688136019337,133,1,133,1,"50,000元","27,010元",nan
138,138,717591,"TTDV,107,重訴,19,20190819,1",107,重訴,19,1566172800000,損害賠償,臺灣臺東地方法院,民事判決,1688136019337,138,1,138,1,"100,000元","227,823元",nan
139,139,791680,"TYDV,107,原訴,15,20180926,1",107,原訴,15,1537920000000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,139,1,139,1,40萬元,"1萬5,481元",nan
140,140,823010,"ULDV,107,簡上,40,20180822,1",107,簡上,40,1534896000000,損害賠償,臺灣雲林地方法院,民事判決,1688136019337,140,1,140,1,"30,000元","4,049元",nan
141,141,77197,"CTDV,107,勞訴,71,20190411,1",107,勞訴,71,1554940800000,損害賠償等,臺灣橋頭地方法院,民事判決,1688136019337,141,1,141,1,nan,nan,"25,000元"
142,142,112571,"FYEV,108,豐簡,207,20190430,1",108,豐簡,207,1556582400000,損害賠償,豐原簡易庭,民事判決,1688136019337,142,1,142,1,nan,"13,875",nan
145,145,159517,"KMDV,106,訴,35,20180807,2",106,訴,35,1533600000000,侵權行為損害賠償,福建金門地方法院,民事判決,1688136019337,145,1,145,1,"250,000元","167,142元","25,200元"
146,146,207578,"KSDV,107,訴,122,20190104,6",107,訴,122,1546560000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,146,1,146,1,"120,000元","39,070元",nan
147,147,207920,"KSDV,107,重訴,136,20181225,1",107,重訴,136,1545696000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,147,1,147,1,60萬元,"2,827元","20,008元"
148,148,246528,"MLDV,106,訴,458,20180925,2",106,訴,458,1537833600000,侵權行為損害賠償,臺灣苗栗地方法院,民事判決,1688136019337,148,1,148,1,"80,000元","126,109",nan
152,152,324410,"PCDV,107,訴,436,20180614,1",107,訴,436,1528934400000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,152,1,152,1,100萬元,1533元,nan
156,156,437300,"SLEV,107,士簡,477,20180620,1",107,士簡,477,1529452800000,侵權行為損害賠償,士林簡易庭,民事判決,1688136019337,156,1,156,1,"30,000元","3,790元",nan
158,158,504594,"TCDV,106,訴,2662,20190516,1",106,訴,2662,1557964800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,158,1,158,1,12萬元,"9萬7,335元",3萬元
159,159,504699,"TCDV,106,訴,3605,20181005,1",106,訴,3605,1538697600000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,159,1,159,1,20萬元,10萬8275元,20008
160,160,507562,"TCDV,107,訴,2017,20190123,1",107,訴,2017,1548201600000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,160,1,160,1,"450,000元","162,979元",nan
161,161,507608,"TCDV,107,訴,2223,20180927,1",107,訴,2223,1538006400000,損害賠償等,臺灣臺中地方法院,民事判決,1688136019337,161,1,161,1,3萬元,nan,nan
162,162,508230,"TCDV,107,重訴,273,20180620,1",107,重訴,273,1529452800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,162,1,162,1,nan,nan,nan
164,164,525063,"TCEV,108,中簡,128,20190111,1",108,中簡,128,1547164800000,損害賠償,臺中簡易庭,民事判決,1688136019337,164,1,164,1,nan,nan,nan
165,165,590152,"TNDV,107,訴,1643,20190227,2",107,訴,1643,1551225600000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,165,1,165,1,"60,000元","1,482,321元",nan
166,166,606670,"TNHV,107,上易,175,20180920,1",107,上易,175,1537401600000,侵權行為損害賠償,臺灣高等法院臺南分院,民事判決,1688136019337,166,1,166,1,20萬元,"17,204元",nan
167,167,647498,"TPDV,106,訴,1268,20180905,1",106,訴,1268,1536105600000,侵權行為損害賠償,臺灣臺北地方法院,民事判決,1688136019337,167,1,167,1,"1,000,000元","29,894元","23,113元"
168,168,794208,"TYDV,107,重訴,141,20190715,1",107,重訴,141,1563148800000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,168,1,168,1,15萬元,61708,4萬4000元
171,171,2223,"CDEV,108,橋簡,393,20191105,1",108,橋簡,393,1572912000000,損害賠償,橋頭簡易庭,民事判決,1688136019337,171,1,171,1,"100,000元","1,145元","30,000元"
174,174,103806,"CYEV,107,朴簡,59,20181115,2",107,朴簡,59,1542240000000,侵權行為損害賠償,嘉義簡易庭(含朴子),民事判決,1688136019337,174,1,174,1,"30,000元","1,417元",nan
175,175,143011,"ILDV,107,訴,302,20190426,1",107,訴,302,1556236800000,侵權行為損害賠償,臺灣宜蘭地方法院,民事判決,1688136019337,175,1,175,1,"600,000元","50,453元",nan
176,176,155610,"KLDV,106,訴,18,20181228,1",106,訴,18,1545955200000,損害賠償,臺灣基隆地方法院,民事判決,1688136019337,176,1,176,1,"800,000元","114,411元","60,548元"
178,178,207592,"KSDV,107,訴,1261,20190312,1",107,訴,1261,1552348800000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,178,1,178,1,8萬元,"13,060元",2萬元
179,179,216899,"KSEV,108,雄簡,847,20190628,1",108,雄簡,847,1561680000000,損害賠償,高雄簡易庭,民事判決,1688136019337,179,1,179,1,"35,000元",330元,"33,000元"
180,180,336587,"PCEV,106,板簡,2710,20181129,2",106,板簡,2710,1543449600000,侵權行為損害賠償,板橋簡易庭,民事判決,1688136019337,180,1,180,1,"80,000元","61,925元","14,290元"
181,181,391911,"SCDV,106,訴,711,20181116,1",106,訴,711,1542326400000,損害賠償,臺灣新竹地方法院,民事判決,1688136019337,181,1,181,1,100萬元,"1,050",nan
182,182,441437,"SSEV,107,新簡,495,20190131,1",107,新簡,495,1548892800000,損害賠償,新市簡易庭,民事判決,1688136019337,182,1,182,1,3萬元,"7,703元",nan
183,183,442652,"STEV,107,店小,771,20180814,1",107,店小,771,1534204800000,損害賠償,新店簡易庭,民事判決,1688136019337,183,1,183,1,"3,000元","1,618元",nan
184,184,507933,"TCDV,107,訴,3701,20190829,1",107,訴,3701,1567036800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,184,1,184,1,"45,000元","7,620元",nan
185,185,511797,"TCDV,108,簡上,52,20191025,1",108,簡上,52,1571961600000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,185,1,185,1,2萬元,4萬5995元,nan
187,187,544444,"TCHV,107,訴易,79,20181228,1",107,訴易,79,1545955200000,損害賠償,臺灣高等法院臺中分院,民事判決,1688136019337,187,1,187,1,5萬元,2690元,21009元
188,188,589075,"TNDV,106,重訴,184,20180928,1",106,重訴,184,1538092800000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,188,1,188,1,150萬元,"4,425,707",nan
193,193,794246,"TYDV,107,重訴,29,20180914,1",107,重訴,29,1536883200000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,193,1,193,1,nan,nan,nan
194,194,31393,"CHDV,108,訴,15,20190517,1",108,訴,15,1558051200000,損害賠償,臺灣彰化地方法院,民事判決,1688136019337,194,1,194,1,10萬元,"5,343元",nan
196,196,156588,"KLDV,108,基簡,744,20190910,1",108,基簡,744,1568073600000,損害賠償,臺灣基隆地方法院,民事判決,1688136019337,196,1,196,1,10萬元,"6萬0,631元","3萬5,000元"
197,197,253078,"NHEV,108,湖簡,1331,20191018,1",108,湖簡,1331,1571356800000,損害賠償,內湖簡易庭,民事判決,1688136019337,197,1,197,1,nan,nan,nan
199,199,324204,"PCDV,107,訴,2534,20190612,1",107,訴,2534,1560297600000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,199,1,199,1,15萬元,"64萬2,116元",9萬
200,200,324344,"PCDV,107,訴,3201,20190507,1",107,訴,3201,1557187200000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,200,1,200,1,50萬元,"254,887元","20,008元"
201,201,344594,"PKEV,108,港小,92,20190619,1",108,港小,92,1560902400000,損害賠償,北港簡易庭,民事判決,1688136019337,201,1,201,1,nan,"4,229元",nan
205,205,590298,"TNDV,107,訴,500,20181116,1",107,訴,500,1542326400000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,205,1,205,1,１５萬元,１萬７４０３元,３萬４０００元
207,207,649576,"TPDV,107,訴,2284,20181228,1",107,訴,2284,1545955200000,侵權行為損害賠償,臺灣臺北地方法院,民事判決,1688136019337,207,1,207,1,12萬元,"8,660元",3萬元
208,208,794068,"TYDV,107,訴,576,20181005,1",107,訴,576,1538697600000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,208,1,208,1,20萬元,"92,824元","58,041元"
209,209,794214,"TYDV,107,重訴,179,20180608,1",107,重訴,179,1528416000000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,209,1,209,1,150萬元,"12,016元","19,273元"
210,210,804986,"TYEV,107,桃小,1794,20190329,1",107,桃小,1794,1553817600000,損害賠償,桃園簡易庭,民事判決,1688136019337,210,1,210,1,"17,117元","2,780元","32,774元"
211,211,124006,"HLDV,107,原訴,10,20180713,1",107,原訴,10,1531440000000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,211,1,211,1,20萬元,"5,815元",nan
