level_0,index,id,jid,jyear,jcase,jno,jdate_dt,jtitle,jtype,litigation_type,etl_datetime,source_id,source_cnt,source_id_v2,source_cnt_v2,精神慰撫金額,醫療費用,薪資收入,頭頸部,臉,胸部,腹部,背部,骨盆,上肢,下肢,其他,骨折,骨裂,擦挫傷,撕裂傷,鈍傷,損傷,胸部損傷,神經損傷,拉傷,扭傷,灼傷,脫位,壓迫,破缺損,腦震盪,壞死,內出血,水腫,瘀血,栓塞,剝離,截肢,衰竭,休克,失能,死亡,肇責 0/100,肇責 10/90,肇責 20/80,肇責 30/70,肇責 40/60,肇責 50/50,肇責 60/40,肇責 70/30,肇責 80/20,肇責 90/10,肇責 100/0,未滿18歲(高中以下),18-24歲(大學、研究所),25-29歲,30-39歲,40-49歲,50-59歲,60-64歲,65歲以上(退休)
17,17,30769,"CHDV,107,訴,733,20180919,1",107,訴,733,1537315200000,損害賠償,臺灣彰化地方法院,民事判決,1688136019337,17,1,17,1,150000.0,3329,17280,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,34061,"CHEV,107,彰簡,616,20190122,1",107,彰簡,616,1548115200000,損害賠償,彰化簡易庭,民事判決,1688136019337,18,1,18,1,10000.0,3480,17280,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,36250,"CLEV,107,壢小,366,20190731,2",107,壢小,366,1564531200000,損害賠償,中壢簡易庭,民事判決,1688136019337,19,1,19,1,10000.0,3480,17280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,36556,"CLEV,107,壢簡,746,20180928,1",107,壢簡,746,1538092800000,損害賠償,中壢簡易庭,民事判決,1688136019337,20,1,20,1,20000.0,3815,17280,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,100256,"CYDV,107,訴,575,20190829,1",107,訴,575,1567036800000,損害賠償,臺灣嘉義地方法院,民事判決,1688136019337,21,1,21,1,400000.0,108393,30000,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,207582,"KSDV,107,訴,1232,20190213,1",107,訴,1232,1550016000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,25,1,25,1,180000.0,28266,39667,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,207873,"KSDV,107,訴,913,20181031,1",107,訴,913,1540944000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,26,1,26,1,80000.0,62019,39667,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,372774,"PTEV,107,屏小,252,20180731,1",107,屏小,252,1532995200000,損害賠償,屏東簡易庭,民事判決,1688136019337,28,1,28,1,6000.0,555,39667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,424210,"SLDV,106,訴,796,20180629,1",106,訴,796,1530230400000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,29,1,29,1,150000.0,535,19500,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,425538,"SLDV,107,訴,1582,20190902,1",107,訴,1582,1567382400000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,30,1,30,1,150000.0,535,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,31,437467,"SLEV,108,士小,1166,20190617,1",108,士小,1166,1560729600000,侵權行為損害賠償,士林簡易庭,民事判決,1688136019337,31,1,31,1,10000.0,1780,28015,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,444735,"SYEV,107,營簡,500,20190515,1",107,營簡,500,1557878400000,損害賠償,柳營簡易庭,民事判決,1688136019337,32,1,32,1,10000.0,1780,28015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,512025,"TCDV,108,訴,1528,20191003,1",108,訴,1528,1570060800000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,33,1,33,1,100000.0,10230,32880,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,547014,"TLEV,108,六小,12,20190218,1",108,六小,12,1550448000000,損害賠償,斗六簡易庭,民事判決,1688136019337,34,1,34,1,20000.0,1200,32880,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,590099,"TNDV,107,訴,1394,20190212,1",107,訴,1394,1549929600000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,35,1,35,1,100000.0,8540,22000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36,36,791525,"TYDV,106,訴,235,20190823,1",106,訴,235,1566518400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,36,1,36,1,250000.0,41934,22000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,805320,"TYEV,107,桃簡,977,20181221,1",107,桃簡,977,1545350400000,損害賠償,桃園簡易庭,民事判決,1688136019337,37,1,37,1,150000.0,30442,87000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,207523,"KSDV,107,訴,1062,20190510,1",107,訴,1062,1557446400000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,39,1,39,1,150000.0,30442,87000,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,207781,"KSDV,107,訴,548,20190618,1",107,訴,548,1560816000000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,40,1,40,1,50000.0,3320,87000,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,252570,"NHEV,107,湖簡,1121,20181226,1",107,湖簡,1121,1545782400000,損害賠償,內湖簡易庭,民事判決,1688136019337,42,1,42,1,30000.0,3320,38000,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,267212,"OLEV,107,員簡,185,20180920,1",107,員簡,185,1537401600000,損害賠償,員林簡易庭,民事判決,1688136019337,43,1,43,1,100000.0,6180,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,44,324615,"PCDV,107,重訴,439,20181025,1",107,重訴,439,1540425600000,侵權行為損害賠償,臺灣新北地方法院,民事判決,1688136019337,44,1,44,1,600000.0,332114,38000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,373003,"PTEV,108,屏簡,46,20190823,1",108,屏簡,46,1566518400000,損害賠償,屏東簡易庭,民事判決,1688136019337,45,1,45,1,100000.0,16368,27000,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,424250,"SLDV,106,重訴,353,20190814,1",106,重訴,353,1565740800000,損害賠償,臺灣士林地方法院,民事判決,1688136019337,46,1,46,1,250000.0,192337,73706,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,47,523286,"TCEV,107,中小,2926,20181127,1",107,中小,2926,1543276800000,損害賠償,臺中簡易庭,民事判決,1688136019337,47,1,47,1,10000.0,380,73706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,523709,"TCEV,107,中簡,1988,20181009,1",107,中簡,1988,1539043200000,損害賠償,臺中簡易庭,民事判決,1688136019337,48,1,48,1,60000.0,41515,70000,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,49,523941,"TCEV,107,中簡,3644,20181210,1",107,中簡,3644,1544400000000,損害賠償,臺中簡易庭,民事判決,1688136019337,49,1,49,1,50000.0,6300,25000,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,524642,"TCEV,108,中小,4064,20190927,1",108,中小,4064,1569542400000,損害賠償,臺中簡易庭,民事判決,1688136019337,50,1,50,1,5000.0,662,25000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,545078,"TCHV,108,訴易,4,20190508,1",108,訴易,4,1557273600000,損害賠償,臺灣高等法院臺中分院,民事判決,1688136019337,51,1,51,1,50000.0,49713,26000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,52,590136,"TNDV,107,訴,1534,20190124,1",107,訴,1534,1548288000000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,52,1,52,1,180000.0,19460,26000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,590443,"TNDV,107,重訴,165,20190102,3",107,重訴,165,1546387200000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,53,1,53,1,20000.0,4522,26000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,791519,"TYDV,106,訴,2003,20180810,1",106,訴,2003,1533859200000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,55,1,55,1,120000.0,9780,26000,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,793963,"TYDV,107,訴,292,20180629,1",107,訴,292,1530230400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,56,1,56,1,400000.0,33440,35000,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
57,57,47394,"CSEV,107,旗簡,15,20180712,1",107,旗簡,15,1531353600000,損害賠償,旗山簡易庭,民事判決,1688136019337,57,1,57,1,400000.0,33440,35000,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,77716,"CTDV,107,訴,747,20190528,1",107,訴,747,1559001600000,損害賠償,臺灣橋頭地方法院,民事判決,1688136019337,58,1,58,1,600000.0,237702,15223,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,124401,"HLDV,107,訴,179,20181109,1",107,訴,179,1541721600000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,59,1,59,1,500000.0,325207,15223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,207842,"KSDV,107,訴,807,20191111,1",107,訴,807,1573430400000,侵權行為損害賠償,臺灣高雄地方法院,民事判決,1688136019337,60,1,60,1,80000.0,93863,15223,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,336945,"PCEV,107,板小,2843,20190124,1",107,板小,2843,1548288000000,侵權行為損害賠償,板橋簡易庭,民事判決,1688136019337,62,1,62,1,80000.0,93863,15223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,337617,"PCEV,107,板簡調,76,20180731,1",107,板簡調,76,1532995200000,侵權行為損害賠償,板橋簡易庭,民事裁定,1688136019337,63,1,63,1,80000.0,93863,15223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,443144,"STEV,108,店簡,13,20190502,2",108,店簡,13,1556755200000,損害賠償,新店簡易庭,民事判決,1688136019337,64,1,64,1,10000.0,21260,15223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,589053,"TNDV,106,訴,975,20181025,1",106,訴,975,1540425600000,侵權行為損害賠償,臺灣臺南地方法院,民事判決,1688136019337,68,1,68,1,300000.0,3965,20008,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,70,793930,"TYDV,107,訴,2764,20190315,1",107,訴,2764,1552608000000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,70,1,70,1,91695.0,160828,62000,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,805311,"TYEV,107,桃簡,930,20190215,1",107,桃簡,930,1550188800000,損害賠償,桃園簡易庭,民事判決,1688136019337,71,1,71,1,50000.0,1872,100000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,100292,"CYDV,107,訴,731,20190416,3",107,訴,731,1555372800000,損害賠償,臺灣嘉義地方法院,民事判決,1688136019337,73,1,73,1,180000.0,26418,8000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,113727,"GSEV,107,岡小,220,20180725,1",107,岡小,220,1532476800000,損害賠償,岡山簡易庭,民事判決,1688136019337,74,1,74,1,180000.0,26418,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,76,392002,"SCDV,107,原訴,17,20181128,1",107,原訴,17,1543363200000,損害賠償,臺灣新竹地方法院,民事判決,1688136019337,76,1,76,1,300000.0,230791,8000,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,524542,"TCEV,108,中小,3471,20191004,1",108,中小,3471,1570147200000,損害賠償,臺中簡易庭,民事判決,1688136019337,77,1,77,1,6000.0,970,55000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,652208,"TPDV,108,訴,1351,20191030,1",108,訴,1351,1572393600000,侵權行為損害賠償,臺灣臺北地方法院,民事判決,1688136019337,78,1,78,1,150000.0,25431,427868,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,79,797647,"TYDV,108,訴,618,20190614,1",108,訴,618,1560470400000,損害賠償,臺灣桃園地方法院,民事判決,1688136019337,79,1,79,1,150000.0,25431,427868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,251,"CCEV,107,潮簡,553,20181218,1",107,潮簡,553,1545091200000,損害賠償,潮州簡易庭,民事判決,1688136019337,80,1,80,1,40000.0,25431,40000,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,77790,"CTDV,107,重訴,1,20190726,2",107,重訴,1,1564099200000,損害賠償,臺灣橋頭地方法院,民事判決,1688136019337,81,1,81,1,800000.0,127131,40000,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,103751,"CYEV,107,嘉簡,936,20190305,1",107,嘉簡,936,1551744000000,侵權行為損害賠償,嘉義簡易庭(含朴子),民事判決,1688136019337,82,1,82,1,800000.0,127131,40000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,126678,"HLEV,108,花簡,247,20191122,1",108,花簡,247,1574380800000,侵權行為損害賠償,花蓮簡易庭(含玉里),民事判決,1688136019337,83,1,83,1,200000.0,640,40000,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,371313,"PTDV,108,訴,134,20190411,1",108,訴,134,1554940800000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,87,1,87,1,200000.0,95259,25000,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,371513,"PTDV,108,重訴,41,20190613,1",108,重訴,41,1560384000000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,88,1,88,1,3000000.0,3600,46000,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,89,423988,"SLDV,106,原訴,7,20181127,1",106,原訴,7,1543276800000,侵權行為損害賠償,臺灣士林地方法院,民事判決,1688136019337,89,1,89,1,3000000.0,3600,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
